env,state_x,num_samples,total_games,total_success,overall_pass_rate,mean_sample_pass_rate,std_sample_pass_rate,sem_sample_pass_rate,min_sample_pass_rate,max_sample_pass_rate,condition,num_unique_notebook_hashes,notebook_hash,notebook_size_lines,min_notebook_size_lines,max_notebook_size_lines,source_notebook_hash,source_notebook_size_lines,reference_prompt_matches_template,updater_prompt_notebook_matches_state
frozen_lake,2,8,160,33,0.20625,0.20625,0.07763237542601484,0.02744718955167749,0.1,0.35,original,1,db0864659eadb7768b1c2af2d9e55c96285df6bb13ecaffcdf461f33cf2be990,20.0,20,20,db0864659eadb7768b1c2af2d9e55c96285df6bb13ecaffcdf461f33cf2be990,20,True,True
frozen_lake,2,8,160,40,0.25,0.25,0.07559289460184544,0.026726124191242435,0.15,0.35,updated,7,0b65609c90613ed87eebeb60b9266b0fd3959250f46aac2f6e10e515ad514862;33d41996f539ab0b32af4d6a6617cffc6f12eb6fc6610fa96d4a3965da0b2464;a22460583044de4c09aadd49f298cca2c7390b80016ed0e859d8303662e9db08;a7161f48a17c28dd75ae3a621fe58067480bd0351df121c87e8c835adea9510f;a89f94b2c7ee650ba4327c1d5174c3dafec89a5ed2ae89ea91a97cdd290dda1a;c3aa0580706c4c8f7cb1eda5eba993e6f91893319b092fcc36b82c207f4f6bd5;db0864659eadb7768b1c2af2d9e55c96285df6bb13ecaffcdf461f33cf2be990,20.375,19,21,db0864659eadb7768b1c2af2d9e55c96285df6bb13ecaffcdf461f33cf2be990,20,True,True
frozen_lake,6,8,160,90,0.5625,0.5625,0.04432026302139591,0.015669579263200215,0.5,0.65,original,1,b5300102cb54ee6768a531c9ba7e1a88e38177c58f0a39b6ac752857356f3116,21.0,21,21,b5300102cb54ee6768a531c9ba7e1a88e38177c58f0a39b6ac752857356f3116,21,True,True
frozen_lake,6,8,160,59,0.36875,0.36874999999999997,0.23289712627804454,0.08234156865503248,0.1,0.75,updated,8,0637a4ea25248ba145cf6e2b2b47102c8ab4b712f397cc5f2adeb7caa9b53833;198c107de9e4a91a307bbf09d7d43a8903e845b6704269082bca52f4c3e58c81;2fed237bd6fb4a9f35ab2a9e24c599f7ed51b4578f3a9999d3a605a7b6b6f780;7d7afc79e2330e8dd739ff7bb94ee765d797b99c0669f5810c03691e929fa64f;804122f02d402eeac65373af11c80f5dec5c9ffff1c6953d80a3b2b6c7a46df4;919d8061a8561830f472e8116f25b4e06f360e36f4676ce201fee7c95153ab97;ae1d3ee53bdcd5153dbbbfc30ccc88d2d3dd5d237805c43cdc2f590bf335e7d9;e69cbc3780d6d94663b8943dd3d0497de3e508648ba38e14b6cd0449ba9611dd,21.75,19,23,b5300102cb54ee6768a531c9ba7e1a88e38177c58f0a39b6ac752857356f3116,21,True,True
frozen_lake,10,8,160,34,0.2125,0.2125,0.06408699444616557,0.02265817417937414,0.1,0.3,original,1,45685bd10eaefa192b5a6e80d6768e09b867c0dfd8fcc954d933e37593fbf5ca,21.0,21,21,45685bd10eaefa192b5a6e80d6768e09b867c0dfd8fcc954d933e37593fbf5ca,21,True,True
frozen_lake,10,8,160,36,0.225,0.225,0.04629100498862757,0.016366341767699428,0.15,0.3,updated,8,130d28d22abb9b81bca49dc1db2e11a0d324e8c585476ca3a2b9bfb95bc738d1;3fc35986f1de4a2907668bd2c19fc166c17cf27bacc10bfa25fd019b7e5e6d86;51c557096d071f5782c8a28cc5707e8c0b57f1af142fb9c6bc0e012841264cdb;6725609f6b426600384735b20db191b0acfa50be555184df071c73f8609303d3;d106cbc37db9535c46e61a84b531ab68b0f707dde38ba47903c40e02038c2086;d95e077c9c1cc506e3cc6f33fb794973b30f05fa984cf38c7304ebd71af5f941;dc94b5dff8b0867b1308f1249cedaa8f3041141222c813035af944f9ae9bce08;e7c474f63e35db916a09ae1bc511468da6e89b4b933a3a2424c59720701bfb40,21.5,21,22,45685bd10eaefa192b5a6e80d6768e09b867c0dfd8fcc954d933e37593fbf5ca,21,True,True
frozen_lake,14,8,160,37,0.23125,0.23125,0.03720119045714224,0.013152607020228779,0.2,0.3,original,1,b42b9c78c9b9688231100a9ee56f3d705db6f467f01cb979cedccd22665b6f38,16.0,16,16,b42b9c78c9b9688231100a9ee56f3d705db6f467f01cb979cedccd22665b6f38,16,True,True
frozen_lake,14,8,160,35,0.21875,0.21875,0.1667708008015792,0.05896238207535377,0.0,0.45,updated,8,034231a3a826c045c56a7701fe39fc4a5393d2a90f7c2844112e486cb5cd88fc;10d7c1d8f7508317ebff2749819b050ab50ba36fc82fc47daeb60016907976cd;52ed4cbb046786af64ac30b7d0fb960f2b822924351edc5eb57de109cfa0033b;5af8adf892d82e90c91a40b34118e8a8399a053845da88ea9c3a9a3bac402371;9abaf8986c0617cac6a84fe8d3e698e48d1614e1602378e52a16c61caf9db0af;b42b9c78c9b9688231100a9ee56f3d705db6f467f01cb979cedccd22665b6f38;ca13fd4a3b542671fe0372df18847a65b3620440c38ead74db6754ec92cd4578;e3ff46455192a560cc0be3e5f2aa11f266676d351d5ade71b5e017e422150fc1,16.875,16,17,b42b9c78c9b9688231100a9ee56f3d705db6f467f01cb979cedccd22665b6f38,16,True,True
frozen_lake,18,8,160,37,0.23125,0.23125,0.0458062690656452,0.01619496173858665,0.2,0.3,original,1,44c0c3aff83d38d802b40bb7b6414b6b9b45a66fa3a48ca4b8ca69649f53993b,20.0,20,20,44c0c3aff83d38d802b40bb7b6414b6b9b45a66fa3a48ca4b8ca69649f53993b,20,True,True
frozen_lake,18,8,160,35,0.21875,0.21875,0.07039429765866793,0.0248881426156542,0.1,0.3,updated,4,44c0c3aff83d38d802b40bb7b6414b6b9b45a66fa3a48ca4b8ca69649f53993b;bde737bba9ae489c6b63b8227c27417e397207b80e4e213db501878586f297c8;c2ffd5457a5489016f635d748f3f9bc23e2ff5afa6726a1e14f61ef7fcb9803b;f3064210b68bae5ea263ce821264d39231b528a0523635b2960d7fef417a74fb,19.125,15,20,44c0c3aff83d38d802b40bb7b6414b6b9b45a66fa3a48ca4b8ca69649f53993b,20,True,True
