env,state_x,num_samples,total_games,total_success,overall_pass_rate,mean_sample_pass_rate,std_sample_pass_rate,sem_sample_pass_rate,min_sample_pass_rate,max_sample_pass_rate,condition,num_unique_notebook_hashes,notebook_hash,notebook_size_lines,min_notebook_size_lines,max_notebook_size_lines,source_notebook_hash,source_notebook_size_lines,reference_prompt_matches_template,updater_prompt_notebook_matches_state
frozen_lake,2,8,160,27,0.16875,0.16875,0.06512350903146596,0.023024637425406475,0.05,0.25,original,1,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13.0,13,13,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,2,8,160,23,0.14375,0.14375000000000002,0.06232117273791125,0.02203386192723762,0.05,0.2,updated,6,63439537d7bfd947a04feccd5e9171909cce274ea73107d2c944635843676080;900fd9677195e3f3baf113d300b28adbc6d2e524c0f991fbbefad5b16ff10d1e;99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641;b6eb6fe83c68cda42f5f744c79e71c14e595fa79832bbd0f36211096b6aec9be;cca71f08df9c14ea6664975758a13c5cf0903f65894cc165972964304046c93c;f82b5d76d83dab675c6776d2289ce45656279e7a286737bb9c177178be273d8b,14.375,13,16,99c0bf387f13092271143da3170647608fef269a0bbeff5d120fd472f33bc641,13,True,True
frozen_lake,6,8,160,12,0.075,0.07500000000000001,0.03779644730092273,0.01336306209562122,0.0,0.1,original,1,029f66c49f5093267aed915e2f6cd31ddc930ecc2c6ec18b34f24d527802b276,15.0,15,15,029f66c49f5093267aed915e2f6cd31ddc930ecc2c6ec18b34f24d527802b276,15,True,True
frozen_lake,6,8,160,17,0.10625,0.10625,0.1015504800579495,0.03590351654086268,0.0,0.3,updated,6,029f66c49f5093267aed915e2f6cd31ddc930ecc2c6ec18b34f24d527802b276;684d8657084a4b1623c5179258bccc5907061db1e95afb9aa9f2076696a89ae3;8c8abaa8c61edd2f226ceab61b1508e5d9524e4a27a20b31ad91f3fc97f9fa31;93efb35ef84b4e5c6afe9ca60ecec90145e1ac56bdc5231669cc0dfd37864e1d;d77d1c33c6bf29096f4cc91a13934f90209bbcf4c893e4794a7b3cbe839ebafa;fa66647149b9963a26745a42328a81ff439aee7f6ca6e6cae695ba6718e874cd,16.0,15,18,029f66c49f5093267aed915e2f6cd31ddc930ecc2c6ec18b34f24d527802b276,15,True,True
frozen_lake,10,8,160,15,0.09375,0.09375,0.06781013409302687,0.023974502825174198,0.0,0.2,original,1,34159ea0bcaa0364e9c27dc859ac8166651ed615b90c257320ea5c14c604ffc3,16.0,16,16,34159ea0bcaa0364e9c27dc859ac8166651ed615b90c257320ea5c14c604ffc3,16,True,True
frozen_lake,10,8,160,19,0.11875,0.11875000000000001,0.07529703086538576,0.02662152056406352,0.05,0.25,updated,8,1ac1eba4cf590a7d15ee2f534759b45a2b3d72360f3641991cfdb3df14f62dfc;40c1eb682b4150b653a506caa67dbc63ba7286aefe5a1608af52926eadeaa087;468ef8f43d21445d775d75f8acef5ffdac1e0f07d51406cc9277028fbdceb564;4b746162c35a6b028745737e3d4754ebf1fe5fff20a520e1fb315343252791e6;5df790006b3317706f33cefc7f42cb37a7f26f5f511d7d06b4310ad068046212;b070800975c5f089cc515fe6f8dbe79130927a76627033dcf0f495e955a1ac1e;d3a1bbc6ca0616c969918a896719e8b3d6dadb46ac940860505153d6f2d1e56e;d962af21dcb964d2976495fd182301cfd825bdf8a6349da29be3092db7d07ce1,16.0,13,17,34159ea0bcaa0364e9c27dc859ac8166651ed615b90c257320ea5c14c604ffc3,16,True,True
frozen_lake,14,8,160,18,0.1125,0.1125,0.06943650748294136,0.024549512651549144,0.0,0.2,original,1,24cd9913b8166ec26adaae8952c0aa1c4c9d80e7b02e85dddfd82ce22cf11642,21.0,21,21,24cd9913b8166ec26adaae8952c0aa1c4c9d80e7b02e85dddfd82ce22cf11642,21,True,True
frozen_lake,14,8,160,14,0.0875,0.08750000000000001,0.058248237251071755,0.02059386177619785,0.0,0.2,updated,5,24cd9913b8166ec26adaae8952c0aa1c4c9d80e7b02e85dddfd82ce22cf11642;9a196f923ee337096f83adbf0294cc871f978c93fd1b7d2f9c3607cfb1449605;b5d50d7218795d522fb25250159501105d7e8f650e95c8037afa6a028a0a4825;e57a314811654b8eb9439c7faa341a81fec6aba45b551559096a09d2ab2db6cd;f3b0748fc6fbab95a5a98b1305b5e071b40563ed848a3c065836e632ea71575b,21.375,21,22,24cd9913b8166ec26adaae8952c0aa1c4c9d80e7b02e85dddfd82ce22cf11642,21,True,True
frozen_lake,18,8,160,45,0.28125,0.28125,0.08425090080061035,0.02978719163859335,0.15,0.4,original,1,f61ab58a1b2ec6cbc01fcfc900bc5f6b7d7e7ca81c3d925ab05372791c2bcc4c,32.0,32,32,f61ab58a1b2ec6cbc01fcfc900bc5f6b7d7e7ca81c3d925ab05372791c2bcc4c,32,True,True
frozen_lake,18,8,160,46,0.2875,0.2875,0.07905694150420949,0.02795084971874737,0.2,0.4,updated,1,f61ab58a1b2ec6cbc01fcfc900bc5f6b7d7e7ca81c3d925ab05372791c2bcc4c,32.0,32,32,f61ab58a1b2ec6cbc01fcfc900bc5f6b7d7e7ca81c3d925ab05372791c2bcc4c,32,True,True
