source,variant,run,env,state_x,condition,sample_y,num_games,successes,pass_rate,complete_sample
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,original,1,20,0,0.0,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,original,2,20,0,0.0,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,original,3,20,2,0.1,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,original,4,20,1,0.05,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,original,5,20,0,0.0,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,original,6,20,1,0.05,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,original,7,20,0,0.0,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,original,8,20,0,0.0,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,updated,1,20,3,0.15,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,updated,2,20,1,0.05,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,updated,3,20,11,0.55,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,updated,4,20,2,0.1,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,updated,5,20,2,0.1,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,updated,6,20,1,0.05,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,updated,7,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,updated,8,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,original,1,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,original,2,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,original,3,20,3,0.15,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,original,4,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,original,5,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,original,6,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,original,7,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,original,8,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,updated,1,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,updated,2,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,updated,3,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,updated,4,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,updated,5,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,updated,6,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,updated,7,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,updated,8,20,3,0.15,True
