source,variant,run,env,state_x,condition,num_samples,total_games,mean_sample_pass_rate,median_sample_pass_rate,std_sample_pass_rate
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,original,8,160,0.025,0.0,0.03779644730092273
origlogs,mechanism,origlogs_mechanism,frozen_lake,1,updated,8,160,0.18125000000000002,0.125,0.16461535252130735
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,original,8,160,0.2,0.2,0.02672612419124244
origlogs,mechanism,origlogs_mechanism,frozen_lake,2,updated,8,160,0.2,0.2,0.02672612419124244
origlogs,mechanism,origlogs_mechanism,frozen_lake,3,original,8,160,0.21250000000000002,0.2,0.023145502494313783
origlogs,mechanism,origlogs_mechanism,frozen_lake,3,updated,8,160,0.225,0.25,0.03779644730092272
origlogs,mechanism,origlogs_mechanism,frozen_lake,4,original,8,160,0.2125,0.2,0.05175491695067656
origlogs,mechanism,origlogs_mechanism,frozen_lake,4,updated,8,160,0.21875,0.225,0.06512350903146596
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,original,8,160,0.3,0.275,0.05976143046671968
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,updated,8,160,0.3625,0.4,0.05824823725107176
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,original,8,160,0.41250000000000003,0.4,0.04432026302139592
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,updated,8,160,0.4125,0.4,0.06408699444616558
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,original,8,160,0.41875,0.45,0.08425090080061036
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,updated,8,160,0.40625,0.4,0.07288689868556626
origlogs,mechanism,origlogs_mechanism,frozen_lake,8,original,8,160,0.36874999999999997,0.35,0.05303300858899107
origlogs,mechanism,origlogs_mechanism,frozen_lake,8,updated,8,160,0.43125,0.42500000000000004,0.11319231422671772
origlogs,mechanism,origlogs_mechanism,frozen_lake,9,original,8,160,0.4,0.4,0.037796447300922735
origlogs,mechanism,origlogs_mechanism,frozen_lake,9,updated,8,160,0.39375,0.4,0.04172614801981402
origlogs,mechanism,origlogs_mechanism,frozen_lake,10,original,8,160,0.39375,0.4,0.04172614801981402
origlogs,mechanism,origlogs_mechanism,frozen_lake,10,updated,8,160,0.4125,0.42500000000000004,0.05824823725107176
origlogs,mechanism,origlogs_mechanism,frozen_lake,11,original,8,160,0.375,0.35,0.05345224838248489
origlogs,mechanism,origlogs_mechanism,frozen_lake,11,updated,8,160,0.4625,0.45,0.08345229603962802
origlogs,mechanism,origlogs_mechanism,frozen_lake,12,original,8,160,0.40625,0.42500000000000004,0.08210402808980465
origlogs,mechanism,origlogs_mechanism,frozen_lake,12,updated,8,160,0.375,0.4,0.03779644730092274
origlogs,mechanism,origlogs_mechanism,frozen_lake,13,original,8,160,0.4,0.4,0.05976143046671969
origlogs,mechanism,origlogs_mechanism,frozen_lake,13,updated,8,160,0.45,0.45,0.07559289460184546
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,original,8,160,0.4,0.375,0.07559289460184546
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,updated,8,160,0.375,0.375,0.10350983390135314
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,original,8,160,0.25,0.25,0.059761430466719674
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,updated,8,160,0.29375,0.275,0.1015504800579495
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,original,8,160,0.35,0.35,0.05976143046671969
origlogs,mechanism,origlogs_mechanism,frozen_lake,16,updated,8,160,0.3625,0.35,0.07905694150420949
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,original,8,160,0.43125,0.45,0.05303300858899108
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,updated,8,160,0.3875,0.375,0.08345229603962802
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,original,8,160,0.46875,0.45,0.045806269065645215
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,updated,8,160,0.425,0.42500000000000004,0.06546536707079771
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,original,8,160,0.4375,0.42500000000000004,0.1026436275942851
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,updated,8,160,0.3625,0.4,0.13562026818605374
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,original,8,160,0.38125,0.35,0.07529703086538578
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,updated,8,160,0.3375,0.3,0.13024701806293193
origlogs,mechanism,origlogs_mechanism,frozen_lake,21,original,8,160,0.31875,0.3,0.03720119045714226
origlogs,mechanism,origlogs_mechanism,frozen_lake,21,updated,8,160,0.2875,0.275,0.1246423454758225
origlogs,mechanism,origlogs_mechanism,frozen_lake,22,original,8,160,0.25,0.25,0.037796447300922714
origlogs,mechanism,origlogs_mechanism,frozen_lake,22,updated,8,160,0.33125,0.3,0.07529703086538578
origlogs,mechanism,origlogs_mechanism,frozen_lake,23,original,8,160,0.4375,0.42500000000000004,0.07905694150420949
origlogs,mechanism,origlogs_mechanism,frozen_lake,23,updated,8,160,0.4625,0.45,0.05175491695067657
origlogs,mechanism,origlogs_mechanism,frozen_lake,24,original,8,160,0.46875,0.45,0.045806269065645215
origlogs,mechanism,origlogs_mechanism,frozen_lake,24,updated,8,160,0.44375,0.45,0.0678101340930269
origlogs,mechanism,origlogs_mechanism,frozen_lake,25,original,8,160,0.53125,0.525,0.07989949043284676
origlogs,mechanism,origlogs_mechanism,frozen_lake,25,updated,8,160,0.43125,0.45,0.08425090080061036
origlogs,mechanism,origlogs_mechanism,frozen_lake,26,original,8,160,0.47500000000000003,0.475,0.04629100498862757
origlogs,mechanism,origlogs_mechanism,frozen_lake,26,updated,8,160,0.325,0.3,0.1535298947157477
origlogs,mechanism,origlogs_mechanism,frozen_lake,27,original,8,160,0.375,0.4,0.06546536707079773
origlogs,mechanism,origlogs_mechanism,frozen_lake,27,updated,8,160,0.36875,0.375,0.07529703086538578
origlogs,mechanism,origlogs_mechanism,frozen_lake,28,original,8,160,0.3125,0.32499999999999996,0.05824823725107175
