source,variant,env,condition,num_states,mean_state_median,mean_state_std
origlogs,thinkahead,frozen_lake,original,40,0.3825,0.06016891907489224
origlogs,thinkahead,frozen_lake,updated,40,0.383125,0.07556807511882419
origlogs,thinkahead,sokoban,original,36,0.35833333333333334,0.07644268235184905
origlogs,thinkahead,sokoban,updated,36,0.35138888888888886,0.07719006020745912
origlogs,mechanism,frozen_lake,original,40,0.373125,0.05574721385696026
origlogs,mechanism,frozen_lake,updated,40,0.375,0.090261829607672
origlogs,mechanism,sokoban,original,36,0.35,0.08039728942423456
origlogs,mechanism,sokoban,updated,36,0.3486111111111111,0.08321076494111516
ownlogs,thinkahead,frozen_lake,original,40,0.229375,0.05925000151008929
ownlogs,thinkahead,frozen_lake,updated,40,0.235625,0.07746961406892132
ownlogs,thinkahead,sokoban,original,25,0.306,0.06284244437903595
ownlogs,thinkahead,sokoban,updated,25,0.326,0.06519299869448009
ownlogs,mechanism,frozen_lake,original,40,0.2425,0.05813094975044278
ownlogs,mechanism,frozen_lake,updated,40,0.2425,0.0777885929010049
ownlogs,mechanism,sokoban,original,31,0.36693548387096775,0.06590092392128985
ownlogs,mechanism,sokoban,updated,31,0.36370967741935484,0.08115634604076398
